"","b_Nu_Intercept","b_eta_Intercept","b_tau_Intercept","b_rho_Intercept","sd_group__Nu_Intercept","sd_group__eta_Intercept","sd_group__tau_Intercept","sd_group__rho_Intercept","sigma","r_group__Nu.h15.Intercept.","r_group__Nu.h16.Intercept.","r_group__eta.h15.Intercept.","r_group__eta.h16.Intercept.","r_group__tau.h15.Intercept.","r_group__tau.h16.Intercept.","r_group__rho.h15.Intercept.","r_group__rho.h16.Intercept.","lp__"
"3182",0.21612,1.43723,-0.46577,1.03291,0.998866,0.544249,1.2972,0.716694,0,-1.9737,0.429215,-0.0636893,-0.474037,-2.6889,-0.0858325,-0.0759047,-0.174857,-144.531
"3183",0.289349,1.7787,-0.428636,0.923359,0.89109,0.596185,1.25732,0.704854,0,-1.49256,0.352813,-0.390476,-0.819996,-2.42187,-0.0976464,0.0230127,-0.0824819,-145.316
"3184",-0.0845244,1.4374,-0.007246,1.09161,0.581839,0.56828,1.27875,0.596481,0,-0.686999,0.730656,-0.0606759,-0.476823,-2.62835,-0.56346,-0.173522,-0.223143,-147.137
"3185",-0.11524,1.18624,-0.720179,1.21653,0.720382,0.481572,1.28196,0.692501,0,-1.0409,0.736326,0.187883,-0.222898,-2.29593,0.169765,-0.260037,-0.36061,-143.415
"3186",-0.927991,1.16843,-0.0699346,1.39172,1.41277,0.216701,1.91018,1.20507,0,0.0903395,1.67732,0.191055,-0.213287,-2.62903,-0.414222,-0.475585,-0.568815,-145.949
"3187",1.5488,1.16282,0.0298108,1.80812,1.26722,0.715046,2.59912,1.69082,0,-3.99505,-1.00412,0.245338,-0.195775,-3.71116,-0.598084,-0.793431,-0.943309,-148.766
"3188",0.763083,0.829787,-0.381105,1.79413,2.13857,0.591338,2.86066,1.18951,0,-3.58854,0.0572868,0.575823,0.125169,-3.25149,-0.0755933,-0.789871,-0.982886,-144.9
"3189",0.728451,1.0174,0.511652,1.30067,2.03272,0.338602,2.55263,0.869244,0,-2.51922,-0.179914,0.374918,-0.0529537,-3.76679,-1.08992,-0.321487,-0.433432,-142.276
"3190",0.615241,1.01759,0.370809,1.62782,1.66383,0.373791,2.36898,0.895308,0,-2.50291,0.129404,0.377306,-0.0615145,-3.56199,-0.856398,-0.653322,-0.804149,-143.459
"3191",0.15085,1.46854,-0.641883,1.02395,1.41452,0.325403,3.4483,0.722499,0,-1.52398,0.437376,-0.078008,-0.504309,-2.57809,0.0976115,-0.0412951,-0.172302,-144.382
"3192",0.200245,1.39053,-0.0258756,1.20735,1.55684,0.280908,3.30283,0.384155,0,-1.36859,0.461041,-0.0132143,-0.42884,-2.72505,-0.51087,-0.283848,-0.355204,-145.193
"3193",-0.557205,1.27478,0.576462,0.875451,2.74044,0.374934,1.72364,0.109224,0,-1.42538,1.1644,0.110266,-0.313104,-3.73586,-1.17383,0.0837244,0.00453488,-147.407
